300.321, 129.672, 5.513,  6.650 False
300.043, 129.689, 5.572,  6.700 False
299.764, 129.707, 5.626,  6.750 False
299.481, 129.726, 5.680,  6.800 False
299.196, 129.743, 5.732,  6.850 False
298.908, 129.761, 5.783,  6.900 False
298.618, 129.779, 5.832,  6.950 False
298.325, 129.798, 5.883,  7.000 False
298.030, 129.818, 5.930,  7.050 False
297.733, 129.838, 5.979,  7.100 False
297.433, 129.859, 6.024,  7.150 False
297.131, 129.879, 6.071,  7.200 False
296.826, 129.899, 6.116,  7.250 False
296.520, 129.920, 6.163,  7.300 False
296.211, 129.941, 6.207,  7.350 False
295.900, 129.962, 6.253,  7.400 False
295.586, 129.984, 6.297,  7.450 False
295.271, 130.006, 6.342,  7.500 False
294.953, 130.028, 6.385,  7.550 False
294.633, 130.050, 6.430,  7.600 False
294.311, 130.072, 6.473,  7.650 False
293.986, 130.095, 6.518,  7.700 False
293.660, 130.117, 6.560,  7.750 False
293.331, 130.140, 6.605,  7.800 False
293.000, 130.163, 6.647,  7.850 False
292.667, 130.186, 6.692,  7.900 False
292.332, 130.209, 6.734,  7.950 False
291.995, 130.233, 6.778,  8.000 False
291.655, 130.256, 6.819,  8.050 False
291.314, 130.279, 6.863,  8.100 False
290.970, 130.303, 6.904,  8.150 False
290.624, 130.326, 6.948,  8.200 False
290.276, 130.350, 6.988,  8.250 False
289.926, 130.374, 7.031,  8.300 False
289.574, 130.397, 7.070,  8.350 False
289.220, 130.421, 7.112,  8.400 False
288.864, 130.444, 7.152,  8.450 False
288.505, 130.468, 7.195,  8.500 False
288.145, 130.491, 7.236,  8.550 False
287.783, 130.515, 7.280,  8.600 False
287.418, 130.538, 7.320,  8.650 False
287.051, 130.561, 7.363,  8.700 False
286.683, 130.585, 7.402,  8.750 False
286.312, 130.608, 7.446,  8.800 False
285.939, 130.631, 7.486,  8.850 False
285.564, 130.654, 7.529,  8.900 False
285.187, 130.677, 7.569,  8.950 False
284.808, 130.700, 7.611,  9.000 False
284.426, 130.722, 7.651,  9.050 False
284.043, 130.742, 7.692,  9.100 False
283.658, 130.759, 7.731,  9.150 False
283.270, 130.776, 7.775,  9.200 False
282.880, 130.792, 7.816,  9.250 False
282.488, 130.806, 7.858,  9.300 False
282.094, 130.818, 7.898,  9.350 False
281.698, 130.825, 7.937,  9.400 False
281.300, 130.829, 7.978,  9.450 False
280.900, 130.830, 8.020,  9.500 False
280.497, 130.827, 8.060,  9.550 False
280.093, 130.826, 8.106,  9.600 False
279.686, 130.824, 8.149,  9.650 False
279.277, 130.821, 8.193,  9.700 False
278.866, 130.817, 8.234,  9.750 False
278.453, 130.813, 8.275,  9.800 False
278.039, 130.807, 8.303,  9.850 False
277.623, 130.802, 8.318,  9.900 False
277.207, 130.795, 8.325,  9.950 False
276.791, 130.787, 8.331, 10.000 False
276.375, 130.779, 8.335, 10.050 False
275.958, 130.771, 8.339, 10.100 False
275.541, 130.761, 8.343, 10.150 False
275.124, 130.751, 8.346, 10.200 False
274.707, 130.741, 8.348, 10.250 False
274.290, 130.729, 8.350, 10.300 False
273.873, 130.717, 8.352, 10.350 False
273.455, 130.704, 8.353, 10.400 False
273.038, 130.690, 8.354, 10.450 False
272.621, 130.676, 8.355, 10.500 False
272.203, 130.662, 8.356, 10.550 False
271.786, 130.648, 8.356, 10.600 False
271.368, 130.633, 8.357, 10.650 False
270.951, 130.618, 8.357, 10.700 False
270.533, 130.602, 8.356, 10.750 False
270.116, 130.585, 8.357, 10.800 False
269.698, 130.569, 8.356, 10.850 False
269.281, 130.552, 8.356, 10.900 False
268.863, 130.535, 8.356, 10.950 False
268.446, 130.517, 8.356, 11.000 False
268.029, 130.500, 8.355, 11.050 False
267.611, 130.481, 8.355, 11.100 False
267.194, 130.462, 8.354, 11.150 False
266.777, 130.444, 8.354, 11.200 False
266.359, 130.425, 8.353, 11.250 False
265.942, 130.406, 8.353, 11.300 False
265.525, 130.386, 8.352, 11.350 False
265.108, 130.367, 8.352, 11.400 False
264.691, 130.348, 8.351, 11.450 False
264.274, 130.328, 8.351, 11.500 False
263.857, 130.308, 8.350, 11.550 False
263.440, 130.289, 8.350, 11.600 False
263.023, 130.269, 8.349, 11.650 False
262.606, 130.249, 8.349, 11.700 False
262.189, 130.229, 8.348, 11.750 False
261.772, 130.209, 8.348, 11.800 False
261.355, 130.189, 8.347, 11.850 False
260.938, 130.169, 8.347, 11.900 False
